"siteID","plotID","open_water_pct","developed_open_pct","developed_low_pct","developed_medium_pct","developed_high_pct","deciduous_forest_pct","evergreen_forest_pct","mixed_forest_pct","shrub_pct","grassland_pct","pasture_pct","cultivated_crops_pct","woody_wetland_pct","emergent_wetland_pct","pct_dominant","lc_dominant"
"GREN","GREN_001",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"GREN","GREN_002",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"HNRY","HNRY_001",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"HNRY","HNRY_002",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"OSBS","OSBS_077",0,0,0,0,0,0,0.777777777777778,0,0,0,0,0,0.222222222222222,0,0.777777777777778,"evergreen_forest_pct"
"OSBS","OSBS_001",0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0.666666666666667,"evergreen_forest_pct"
"OSBS","OSBS_048",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"evergreen_forest_pct"
"UNDE","UNDE_017",0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,"mixed_forest_pct"
"UNDE","UNDE_022",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"woody_wetland_pct"
"BLAN","BLAN_008",0,0,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0.666666666666667,"pasture_pct"
"BLAN","BLAN_069",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"pasture_pct"
"BLAN","BLAN_020",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"pasture_pct"
"BLAN","BLAN_015",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"BLAN","BLAN_012",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"BLAN","BLAN_005",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SCBI","SCBI_014",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SCBI","SCBI_013",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SCBI","SCBI_008",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SCBI","SCBI_007",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SCBI","SCBI_006",0,0,0,0,0,0.166666666666667,0,0,0,0,0.833333333333333,0,0,0,0.833333333333333,"pasture_pct"
"SCBI","SCBI_002",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SERC","SERC_002",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SERC","SERC_001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"woody_wetland_pct"
"SERC","SERC_006",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SERC","SERC_012",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SERC","SERC_005",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"SERC","SERC_023",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"cultivated_crops_pct"
"ORNL","ORNL_008",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"ORNL","ORNL_002",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"ORNL","ORNL_040",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"evergreen_forest_pct"
"ORNL","ORNL_009",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"ORNL","ORNL_007",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"ORNL","ORNL_003",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"MLBS","MLBS_009",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"MLBS","MLBS_005",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"MLBS","MLBS_003",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
"MLBS","MLBS_006",0,0,0,0,0,0.444444444444444,0,0.555555555555556,0,0,0,0,0,0,0.555555555555556,"mixed_forest_pct"
"KONZ","KONZ_025",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"deciduous_forest_pct"
